ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Restaurant_name_length
284774,Koramangala,Bangalore,Biergarten Brewery & Kitchen,750.0,4.1,100,"Continental,Pizzas,North Indian,Chinese,Asian,South Indian",Koramangala,28
284795,Dum Dum,Kolkata,24*7 Cafe,150.0,4.3,50,Snacks  Indian  Chinese,Tamali Apartment,9
284800,Chembur,Mumbai,Maggi House,150.0,2.9,80,Fast Food,Chembur,11
285018,Shivajinagar,Pune,Soaham Dining Hall And Food Zone,300.0,3.8,20,Combo,Shivaji Nagar,32
285101,Kavadiguda,Hyderabad,Okra - Marriott,1000.0,3.9,500,"North Indian,Chinese,Biryani",Kavadiguda,15
285118,Mota Varachha,Surat,Shree Annapoorna Family Restaurant,250.0,4.6,20,"Indian,Chinese,South Indian,Punjabi,Fast Food",Mota Varachha,34
285460,Anna Nagar West Extension,Chennai,The Shawarma Joint,250.0,4.1,50,North Indian,Mogappair,18
285529,Ashok Nagar,Bangalore,Kanti Sweets,100.0,4.4,50,Sweets,Central Bangalore,12
285852,Taltala,Kolkata,Starbucks Coffee,400.0,4.2,100,Beverages  Ice Cream,Park Mansion,16
285926,Wanowrie,Pune,Nizams Biryani,400.0,2.9,80,Indian,Wanowrie,14
286076,Rajajinagar,Bangalore,Home Plate,160.0,4.1,100,"Home Food,North Indian,Andhra,Healthy Food,Thalis,Desserts,Indian,Punjabi",Rajajinagar,10
286175,Raja Annamalai Puram,Chennai,Spectra At The Leela Palace,1200.0,2.9,80,"North Indian,South Indian,Pan-Asian,Continental,Biryani,Pizzas",Adyar,27
286182,Anna Nagar,Chennai,Noodle Doodle,250.0,3.7,20,"Chinese,Combo,Tibetan",Annanagar,13
286445,Usmanpura,Ahmedabad,Zodiac By Fortune Landmark,600.0,4.0,20,"North Indian,South Indian,Oriental,Chinese,Thai,Continental,American,Italian,Desserts",Ashram Road,26
286609,Choolaimedu,Chennai,The Madras Shawarma,200.0,4.2,20,Indian,Choolaimedu,19
286625,Vastrapur,Ahmedabad,Biryani Kitchen & Bengali Sweet,250.0,3.7,50,"Biryani,Tandoor,Bengali",Sandesh Press Roadbodakdev,31
287122,Dhakuria,Kolkata,The Food Chain,250.0,3.7,20,"Fast Food,Chinese",Dhakuriya,14
287238,Bidhannagar,Kolkata,Khana To Banti Hai,250.0,2.9,80,Bakery  Fast Food  Snacks,Salt Lake,18
287285,Entally,Kolkata,Kathleen,300.0,4.2,500,Desserts,Esplanade,8
287342,Tollygunge,Kolkata,Tolly Cafe,250.0,2.9,80,Bengali  Chinese,South Kolkata,10
287548,Powai Area,Mumbai,Jw Cafe - Jw Marriott Mumbai Sahar,1200.0,2.9,80,"North Indian,Continental,Asian,European,Desserts",Powai Area,34
287790,Chembur,Mumbai,Fryday The 13Th,200.0,3.9,20,"Fast Food,Snacks,Italian",Chembur,15
287933,Chembur,Mumbai,Mind The Gap Burgers,200.0,4.0,50,"Fast Food,Snacks,American",Chembur,20
287941,Indiranagar,Bangalore,Roll-A-Pao,450.0,2.9,80,Fast Food,Indiranagar,10
287942,Ashok Nagar,Bangalore,Mom Made,450.0,2.9,80,North Indian,Central Bangalore,8
287952,Kothapet,Hyderabad,Gv'S Hotel Godavari,150.0,4.3,100,Indian,Kothapet & Dilsukhnagar,19
287979,Chembur,Mumbai,Keto Cop,200.0,4.0,100,"Keto,Indian,Italian,Continental,Snacks",Chembur,8
288388,Shivajinagar,Pune,Starbucks Coffee,400.0,4.3,100,"Beverages,Ice Cream",Fc Road,16
288423,Narayan Nagar,Ahmedabad,New Purohit Chawana And Sweet Mart,200.0,4.1,50,Snacks,Paldi & Ambawadi,34
288470,Andheri East,Mumbai,The Bigg Small Cafe,500.0,2.9,80,Continental  Italian  Indian  Chinese,Marol Sakinaka,19
288523,Vadapalani,Chennai,Eame'S & Semmy'S Annapoorni Kitchen,250.0,4.3,100,"Andhra,South Indian,North Indian,Biryani",Vadapalani,35
288625,Banjara Hills,Hyderabad,Superlean Meals,300.0,4.2,100,Healthy Food  Juices  Continental,Zahra Nagar,15
288878,Egmore,Chennai,Oasis - Radisson Blu Hotel,600.0,2.9,80,"Chinese,Indian",Egmore,26
289028,Egmore,Chennai,The Great Kabab Factory,600.0,2.9,80,Kebabs,Egmore,23
289133,Rohini,Delhi,Uncle Butter Omelette,250.0,2.9,80,Snacks,Rohini,21
289145,Rohini,Delhi,Deluxe Butter Omlette,200.0,2.9,80,North Indian,Rohini,21
289241,Erandwane,Pune,The Dessert Zone,300.0,4.2,50,"Bakery,Desserts,Ice Cream,Beverages",Kothrud,16
289261,New Tippasandra,Bangalore,Box8 - Desi Meals,250.0,4.1,100,"North Indian,Biryani,Combo,Snacks",Indira Nagar,17
289332,Santacruz East,Mumbai,Box8 - Desi Meals,250.0,3.7,100,"North Indian,Biryani,Combo,Snacks",Vakola,17
289368,Toli Chowki,Hyderabad,The Frozen Village,300.0,2.9,80,Desserts,Tolichowki,18
289374,Jubilee Hills,Hyderabad,Chopstick Chan,200.0,4.1,50,Chinese,Madhapur,14
289676,Lake Town,Kolkata,Bangalir Petpujo,200.0,3.5,20,Bengali  Indian  Combo,Lake Town,16
289696,Shivajinagar,Pune,Smoke House Deli,800.0,4.0,50,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Fc Road,16
289697,Gandhi Nagar,Bangalore,Basaveshwara Khanavali,200.0,4.2,20,South Indian,Majestic,22
289868,Marol Sakinaka,Mumbai,Uncle'S Chinese Marol,250.0,4.4,20,Chinese,Marol Sakinaka,21
289953,Chembur,Mumbai,Vaishali Garden Restaurant,600.0,4.3,50,"South Indian,Indian,North Indian,Chinese,Biryani,Tandoor",Chembur,26
289969,Ashok Nagar,Bangalore,Cantan,1000.0,4.5,100,"Chinese,Asian,Vietnamese,Pan-Asian,Seafood,Desserts",Cantan Lavelle Road,6
289970,Ashok Nagar,Bangalore,The Fatty Bao,1000.0,4.3,100,Asian,Tfb Lavelle Road,13
290013,Jivraj Park,Ahmedabad,Chatpati Handi,160.0,2.9,80,"South Indian,North Indian",Prahlad Nagar,14
290143,Sadashiv Peth,Pune,Lassi Magic,200.0,2.9,80,Beverages,Sadashiv Peth Pune,11
290158,Dhankawadi,Pune,Hotel Dattaprasad,200.0,3.9,20,Indian,Near Grand Icon Building,17
290309,Beleghata,Kolkata,Bingocakes,200.0,2.9,80,"Bakery,Desserts",Kankurgachi,10
290399,Sampangi Rama Nagar,Bangalore,Tandoori Taal,700.0,4.5,100,Indian,Race Course Road,13
290521,Pitam Pura,Delhi,Hong'S Momos,200.0,2.9,80,"Chinese,Asian,Fast Food,Combo,Tibetan",Ppcc,12
290553,Santacruz East,Mumbai,Oh Soy,300.0,4.1,100,Chinese  Asian  Korean  Pan-Asian  Seafood  Thai  Japanese  Sushi  Burmese  Tibetan,Scruz Bandra East,6
290633,Santacruz East,Mumbai,The Health Local,200.0,2.9,80,Indian  Gujarati  Punjabi  Thalis,Scruz Bandra East,16
290788,Anna Nagar,Chennai,Arabian Delights,400.0,4.3,20,"Arabian,Indian,Chinese",Annanagar,16
290802,Kodungaiyur,Chennai,Lemone Juice Bar,300.0,3.8,50,Beverages,Madhavaram - Manali,16
290829,Rohini,Delhi,Sukh Chai,200.0,2.9,80,"Street Food,Pizzas,Beverages,Fast Food",Rajapur Sector 9,9
290995,Dumdum,Kolkata,The Right Choice,250.0,4.3,50,"Fast Food,Chinese,Biryani,Combo,Snacks",Lala Babu Lane,16
291062,Kothapet,Hyderabad,Corner Bowls,200.0,3.1,20,"Indian,Italian,Fast Food",Sai Tirumala Nivas Green Hills Colony,12
291066,Malleshwaram,Bangalore,Super Svaad,500.0,2.9,80,Chinese,Kc General Hospital,11
291431,Bhowanipore,Kolkata,Royal China,1500.0,4.3,100,"Chinese,Asian,Oriental,Seafood,Desserts",Central Kolkata,11
291520,Koramangala,Bangalore,Xoox Brewmill,500.0,4.5,20,"North Indian,Chinese,Pizzas,Continental,Desserts,Pastas,Fast Food,American,Italian,Salads,Combo",Koramangala,13
291533,Sudhama Nagar,Bangalore,New Ambur Biryani,300.0,2.9,80,Biryani,Shantinagar,17
291638,Baranagar,Kolkata,Chang'S Combos,300.0,3.9,20,"Chinese,Combo,Beverages",North Dumdum,14
291652,Matunga,Mumbai,Khavayya House,200.0,2.9,80,Indian  Chinese,Mahim Dadar,14
291907,Aundh,Pune,Banjara,400.0,2.9,80,"Indian,Biryani",Aundh,7
291978,Jayanagar,Bangalore,Guntur Spice,500.0,4.3,20,"Indian,Chinese,Beverages",Jayanagar,12
292113,Mohammed Wadi,Pune,Caffe Ritazza,1000.0,2.9,80,Italian,Kondhwa,13
292286,Ahiritola,Kolkata,Sony Food Centre,200.0,2.9,80,"Chinese,Indian",Burrabazar,16
292345,Khokhra,Ahmedabad,Shere Punjab Food	Corner,200.0,4.2,20,"Chinese,Indian",Maninagar,24
292357,Ellisbridge,Ahmedabad,The Great Kabab Factory By Radisson Blu,1200.0,2.9,80,"Biryani,Indian,Kebabs",Navrangpura,39
292413,Indiranagar,Bangalore,The Salad Studio,300.0,4.4,100,"Healthy Food,Salads,Cafe,Fast Food,Beverages",Indiranagar,16
292634,Golpark,Kolkata,Chapter 2,1200.0,4.4,500,"Continental,European,Italian,Pastas",South Kolkata,9
